"","Word","Year","WordStart","vowel","coda_cons","foot","pre","pre_amb","br","br_amb","cr","unrel","unrel_amb","aff","aff_amb","sp","sp_amb","sp_full","sp_partial","sp_fp","release"
"1612","purpose","2010",258.760386,"ɜ","p","medial",0,0,0,1,0,0,0,0,0,1,1,0,1,0,"spirantised"
"1613","purpose","2018",65.4096736,"ɜ","p","medial",0,0,0,0,1,0,0,0,0,1,1,1,0,0,"spirantised"
"1614","put","1972",158.3,"ʊ","t","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1615","put","1988",300.6844534,"ʊ","t","final",0,0,0,0,0,1,1,0,0,0,0,0,0,0,"unreleased"
"1616","put","2002",223.5091456,"ʊ","t","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1617","questioned","1970",182.0307121,"ɛ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1618","quite","2010",323.8849992,"ai","t","final",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1619","races","1970",120.7706981,"ei","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1620","races","1972",182.4553483,"ei","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1621","races","1994",286.1291712,"ei","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1622","rapid","1983",94.25169543,"æ","p","medial",0,0,1,1,0,0,0,0,0,1,1,0,1,0,"spirantised"
"1623","realisation","1994",49.78623262,"ei","ʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1624","rebirth","2001",280.2,"ɜ","θ","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1625","recent","1958",242.32,"i","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1626","recent","1994",245.29,"i","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1627","recently","1988",292.9357878,"i","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1628","recently","2001",157.2,"i","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1629","recognise","2002",152.1401289,"ɛ","k","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1630","recognise","2018",162.8430624,"ɛ","k","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1631","recognised","2010",59.02040874,"ɛ","k","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1632","reconciliation","1995",137.9788711,"ei","ʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
